Style,Records,Timestamp,Total
DT6210Y,180,2025-04-02 12:28:06,180
L649,333,2025-04-02 12:34:27,513
LST236,0,2025-04-02 12:35:00,513
AA8629,126,2025-04-02 12:38:47,639
PC450Y,0,2025-04-02 12:38:52,639
1469,315,2025-04-02 12:46:33,954
BC7502,0,2025-04-02 12:47:06,954
YT479,0,2025-04-02 12:47:17,954
BG410,0,2025-04-02 12:47:20,954
K500,0,2025-04-02 12:47:24,954
WW5058,0,2025-04-02 12:47:28,954
L804,0,2025-04-02 12:47:31,954
OG730,0,2025-04-02 12:47:34,954
LST855,0,2025-04-02 12:47:38,954
JST63,630,2025-04-02 13:00:48,1584
MMB800,9,2025-04-02 13:01:05,1593
BC3719,2888,2025-04-02 14:28:07,4481
IC46B,360,2025-04-02 14:32:42,4841
LOG726,72,2025-04-02 14:33:37,4913
MM3000,288,2025-04-02 14:37:32,5201
NEA520,360,2025-04-02 14:42:06,5561
DV7312,585,2025-04-02 14:49:34,6146
L536,243,2025-04-02 14:52:31,6389
DT6401,360,2025-04-02 14:57:09,6749
